timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 12:50:01.000,2,77,48150,81559,29,148.04,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:50:01.003,3,83,47718,81559,30,147.97,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:50:01.005,4,81,48836,81559,32,145.38,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:50:01.008,5,81,48980,81559,28,143.30,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:50:01.010,6,79,48932,81559,30,149.35,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:50:01.013,7,81,48500,81559,26,144.89,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:50:02.464,0,18,48222,81559,31,147.40,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:50:02.479,1,87,48198,81559,33,146.78,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:50:02.491,2,81,48150,81559,30,149.41,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:50:02.503,3,81,47718,81559,30,151.60,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:50:02.511,4,87,48836,81559,32,146.98,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:50:02.526,5,81,48980,81559,28,145.45,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:50:02.544,6,81,48932,81559,30,150.90,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:50:02.555,7,85,48500,81559,27,146.34,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
